date,state,sector,value
2020,Kelantan,p3,1234.011
2020,Kelantan,p4,396.456
2020,Kelantan,p5,17374.192
2020,Kelantan,p6,23.653
2020,Melaka,p0,41030.449
2020,Melaka,p1,4583.532
2020,Melaka,p2,59.283
2020,Melaka,p3,15322.431
2020,Melaka,p4,991.943
2020,Melaka,p5,19969.693
2020,Melaka,p6,103.567
2020,Negeri Sembilan,p0,46336.101
2020,Negeri Sembilan,p1,3318.702
2020,Negeri Sembilan,p2,199.668
2020,Negeri Sembilan,p3,16760.978
2020,Negeri Sembilan,p4,1370.22
2020,Negeri Sembilan,p5,23822.068
2020,Negeri Sembilan,p6,864.466
2020,Pahang,p0,54885.462
2020,Pahang,p1,13001.464
2020,Pahang,p2,613.576
2020,Pahang,p3,12246.086
2020,Pahang,p4,1351.98
2020,Pahang,p5,27597.184
2020,Pahang,p6,75.173
2020,Perak,p0,74263.987
2020,Perak,p1,11430.364
2020,Perak,p2,432.138
2020,Perak,p3,14155.88
2020,Perak,p4,2057.417
2020,Perak,p5,46136.819
2020,Perak,p6,51.37
2020,Perlis,p0,5785.067
2020,Perlis,p1,1087.742
2020,Perlis,p2,30.067
2020,Perlis,p3,443.996
2020,Perlis,p4,150.603
2020,Perlis,p5,4032.247
2020,Perlis,p6,40.41
2020,Penang,p0,92690.682
2020,Penang,p1,2048.85
2020,Penang,p2,139.141
2020,Penang,p3,41626.57
2020,Penang,p4,2234.118
2020,Penang,p5,45978.568
2020,Penang,p6,663.435
2020,Sabah,p0,77840.052
2020,Sabah,p1,12798.329
2020,Sabah,p2,19935.969
2020,Sabah,p3,6042.344
2020,Sabah,p4,2196.533
2020,Sabah,p5,36597.415
2020,Sabah,p6,269.462
2020,Sarawak,p0,127556.288
2020,Sarawak,p1,14907.463
2020,Sarawak,p2,28591.412
2020,Sarawak,p3,33427.691
2020,Sarawak,p4,4081.745
2020,Sarawak,p5,46160.302
2020,Sarawak,p6,387.676
2020,Selangor,p0,326805.3
2020,Selangor,p1,4721.221
2020,Selangor,p2,755.167
2020,Selangor,p3,95113.627
2020,Selangor,p4,18664.936
2020,Selangor,p5,200127.437
2020,Selangor,p6,7422.912
2020,Terengganu,p0,33994.032
2020,Terengganu,p1,2902.817
2020,Terengganu,p2,175.891
2020,Terengganu,p3,11861.58
2020,Terengganu,p4,1080.445
2020,Terengganu,p5,17942.611
2020,Terengganu,p6,30.687
2020,Kuala Lumpur,p0,217447.043
2020,Kuala Lumpur,p1,0
2020,Kuala Lumpur,p2,138.272
2020,Kuala Lumpur,p3,5733.447
2020,Kuala Lumpur,p4,13589.06
2020,Kuala Lumpur,p5,194204.167
2020,Kuala Lumpur,p6,3780.403
2020,Labuan,p0,7613.361
2020,Labuan,p1,115.129
2020,Labuan,p2,0
2020,Labuan,p3,1367.505
2020,Labuan,p4,162.59
2020,Labuan,p5,5910.296
2020,Labuan,p6,57.841
2021,Johor,p0,131242.981
2021,Johor,p1,16882.569
2021,Johor,p2,586.874
2021,Johor,p3,40726.902
2021,Johor,p4,3417.687
2021,Johor,p5,68360.034
2021,Johor,p6,1268.915
2021,Kedah,p0,47505.068
2021,Kedah,p1,5668.731
2021,Kedah,p2,103.154
2021,Kedah,p3,14465.165
2021,Kedah,p4,1018.949
2021,Kedah,p5,25925.347
2021,Kedah,p6,323.722
2021,Kelantan,p0,25781.895
2021,Kelantan,p1,5869.39
2021,Kelantan,p2,352.629
2021,Kelantan,p3,1259.726
2021,Kelantan,p4,400.86
2021,Kelantan,p5,17866.211
2021,Kelantan,p6,33.078
2021,Melaka,p0,41871.632
2021,Melaka,p1,4517.274
2021,Melaka,p2,55.351
2021,Melaka,p3,15835.427
2021,Melaka,p4,896.499
2021,Melaka,p5,20508.12
2021,Melaka,p6,58.961
2021,Negeri Sembilan,p0,47787.092
2021,Negeri Sembilan,p1,3303.506
2021,Negeri Sembilan,p2,186.343
2021,Negeri Sembilan,p3,17962.246
2021,Negeri Sembilan,p4,1365.234
2021,Negeri Sembilan,p5,24359.904
2021,Negeri Sembilan,p6,609.859
2021,Pahang,p0,55440.104
2021,Pahang,p1,13005.688
2021,Pahang,p2,507.224
2021,Pahang,p3,12990.245
2021,Pahang,p4,1600.807
2021,Pahang,p5,27285.399
2021,Pahang,p6,50.74
2021,Perak,p0,76900.997
2021,Perak,p1,11768.73
2021,Perak,p2,401.822
2021,Perak,p3,15453.346
2021,Perak,p4,1919.248
2021,Perak,p5,47322.899
2021,Perak,p6,34.953
2021,Perlis,p0,5866.65
2021,Perlis,p1,1023.525
2021,Perlis,p2,28.553
2021,Perlis,p3,467.888
2021,Perlis,p4,150.799
2021,Perlis,p5,4119.515
2021,Perlis,p6,76.371
2021,Penang,p0,99123.944
2021,Penang,p1,1999.831
2021,Penang,p2,129.979
2021,Penang,p3,46768.162
2021,Penang,p4,2521.324
2021,Penang,p5,47079.905
2021,Penang,p6,624.743
2021,Sabah,p0,79000.069
2021,Sabah,p1,12517.988
2021,Sabah,p2,20574.499
2021,Sabah,p3,5931.064
2021,Sabah,p4,2368.222
2021,Sabah,p5,37368.739
2021,Sabah,p6,239.556
2021,Sarawak,p0,131593.878
2021,Sarawak,p1,14465.913
2021,Sarawak,p2,27875.384
2021,Sarawak,p3,37092.353
2021,Sarawak,p4,4490.408
2021,Sarawak,p5,47314.523
2021,Sarawak,p6,355.297
2021,Selangor,p0,344102.741
2021,Selangor,p1,4950.204
2021,Selangor,p2,707.8
2021,Selangor,p3,107456.098
2021,Selangor,p4,17473.8
2021,Selangor,p5,205429.698
2021,Selangor,p6,8085.14
2021,Terengganu,p0,35235.898
2021,Terengganu,p1,2751.573
2021,Terengganu,p2,177.668
2021,Terengganu,p3,12984.114
2021,Terengganu,p4,1105.7
2021,Terengganu,p5,18200.843
2021,Terengganu,p6,15.999
2021,Kuala Lumpur,p0,219883.721
2021,Kuala Lumpur,p1,0
2021,Kuala Lumpur,p2,134.235
2021,Kuala Lumpur,p3,5977.909
2021,Kuala Lumpur,p4,11966.1
2021,Kuala Lumpur,p5,197978.504
2021,Kuala Lumpur,p6,3825.288
2021,Labuan,p0,7649.669
2021,Labuan,p1,116.628
2021,Labuan,p2,0
2021,Labuan,p3,1353.715
2021,Labuan,p4,143.3
2021,Labuan,p5,5996.655
2021,Labuan,p6,39.372
2022,Johor,p0,142369.692
2022,Johor,p1,17402.664
2022,Johor,p2,648.636
2022,Johor,p3,42948.216
2022,Johor,p4,3962.15
2022,Johor,p5,75875.363
2022,Johor,p6,1532.664
2022,Kedah,p0,50982.123
2022,Kedah,p1,5687.965
2022,Kedah,p2,114.256
2022,Kedah,p3,15633.475
2022,Kedah,p4,1205.493
2022,Kedah,p5,27992.38
2022,Kedah,p6,348.554
2022,Kelantan,p0,26934.566
2022,Kelantan,p1,5640.233
2022,Kelantan,p2,392.951
2022,Kelantan,p3,1298.632
2022,Kelantan,p4,479.777
2022,Kelantan,p5,19077.743
2022,Kelantan,p6,45.229
2022,Melaka,p0,45579.035
2022,Melaka,p1,4544.829
2022,Melaka,p2,61.137
2022,Melaka,p3,16904.765
2022,Melaka,p4,942.579
2022,Melaka,p5,23058.978
2022,Melaka,p6,66.747
2022,Negeri Sembilan,p0,50939.264
2022,Negeri Sembilan,p1,3321.034
2022,Negeri Sembilan,p2,206.612
2022,Negeri Sembilan,p3,19394.015
2022,Negeri Sembilan,p4,1444.138
2022,Negeri Sembilan,p5,26255.402
2022,Negeri Sembilan,p6,318.062
2022,Pahang,p0,61746.204
2022,Pahang,p1,13887.161
2022,Pahang,p2,571.949
2022,Pahang,p3,13745.04
